,dates,texts
0,1515296034.0,"RT @FortWorth_SEC: 1/2 Our counterparts at the Texas State Securities Board have ordered BitConnect, a $4B cryptocurrency promoter, to halt…"
1,1515296147.0,RT @RebelliousCoin: Today we had a brainstorm about the Whitepaper 2.0 with the whole team. It took all day and we will work it out in the…
2,1515296323.0,@Puri_sm @TraceMayer They published this blog post yesterday: https://t.co/57ANovxUN2
3,1515296472.0,"How to make $1,000 a day on #Steemit https://t.co/C47SlsrwtF"
4,1515296543.0,https://t.co/KqV5yOgAOB
5,1515296970.0,"Just watch an 11 btc wall of $DRGN get decimated in minutes on Kucoin. 

I know I talk about it a lot, but when… https://t.co/8lEPHx9oV0"
6,1515297041.0,In about 90mins Arick is going to conduct about 2.5 hours of Helping you understand the Set-ups in… https://t.co/z7E7qdLnEF
7,1515297206.0,Right now about 30 Traders are with the Great Head Moderator @SpartanTrading going 1on1 with him as he spends 2+ ho… https://t.co/V7heMdmZdR
8,1515297259.0,Arguably the value of this altcoin frenzy will mainly be an expensive lesson in how to (not) value financial P2P pr… https://t.co/V0JOo6YmXz
9,1515297283.0,Related: https://t.co/AKT2Y1SXaL
10,1515297516.0,Lol she got no problem with them pumping what she getting tired of is the way I squeal out loud hahahah
11,1515297766.0,"He’s just, like, really smart, ok? https://t.co/bFGGda70ng"
12,1515297951.0,RT @CobraBitcoin: Overall cryptocurrency market cap is approaching a trillion dollars. This is before widespread adoption and use of crypto…
13,1515298004.0,Never that! It’s legit &amp; ?% me | Appreciate your support https://t.co/UCirC48kPL
14,1515298035.0,RT @CMoneyTrading: @stdntofthymrket @AjAwesomecalls @SpartanTrading Man... to be 23 and have found AJ. I cannot even begin to think where m…
15,1515298041.0,RT @ChefMoiles: @AjAwesomecalls excited for my new morning routine with this team. 2 days in already look like I will be signing up for a m…
16,1515298320.0,$ETC on @Coinbase? Checks all boxes ? https://t.co/bawVRXnFQQ https://t.co/UHxVIXrauX
17,1515298387.0,RT @r8rfanok: @justinsuntron @6BillionPeople still giving you credit for helping me be in on this.  You're my boy Blue!!
18,1515298390.0,"U know what makes https://t.co/i1w4YJTkEn Chatroom so special and the Twitter Feed.
Whenever I read my feed I see s… https://t.co/NNGLCLmUj2"
19,1515298475.0,"RT @CryptoJuggalo: Episode 44 of @shitcointalk is now searchable.

Shout-out to @nithanim_coins, thank you for the timestamps!

$CVC $DBIX…"
20,1515298503.0,"As I go over some of Friday's Trades that we did in Chat, I want you to note the hundreds of Traders who profited t… https://t.co/XJoRxLyNLz"
21,1515298535.0,"RT @CryptoGeekPT: Confere! Ainda não é tarde para se entrar em #TRON !!
#trx #tron $TRX #bitcoin #alts #cryptocurrency https://t.co/rsbeMCH…"
22,1515298539.0,TFW u desperate for a pump https://t.co/fw31ryIW5y
23,1515298578.0,"RT @dragonchaingang: Dragonscale me! A look at our #blockchain #incubation applicants, https://t.co/7QyPMtKkkp"
24,1515298620.0,"$CPHI
I caught this off of my friend @Super1NYC feed in the morning. I liked the volume and how it ran 200% in Pre-… https://t.co/6vXCq3irJU"
25,1515298645.0,EXPOSE THIS THIEF https://t.co/3SKwFmYfal
26,1515298732.0,"$ROKU
Thursday MS came out with sell rating, It did ok, but NOT what we wanted it too. I want $45 a share on Thursd… https://t.co/RvrOd78MAq"
27,1515298856.0,"$OSTK
You #Option Traders, Swing Traders I want to show you this 7 Day Chart, 1of the Best #Option Traders in the w… https://t.co/EghuPzENN2"
28,1515298858.0,"RT @alistairmilne: $100k/BTC would make this chart more interesting
#bitcoin https://t.co/u4qLniycM4"
